Date,Open,High,Low,Close,Adj Close,Volume,5D Return,RSI,RSI_lag,5D Return Winsorized,Residuals
2018-01-04,271.20001220703125,272.1600036621094,270.5400085449219,271.6099853515625,246.6366729736328,80636400,0.01660455068712796,100.0,100.0,0.01660455068712796,0.015901088577330226
2018-01-05,272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,248.28030395507812,83524000,0.016458060076092185,100.0,100.0,0.016458060076092185,0.01575459796629445
2018-01-08,273.30999755859375,274.1000061035156,272.9800109863281,273.9200134277344,248.73428344726562,57319200,0.011134313433797116,100.0,100.0,0.011134313433797116,0.01043085132399938
2018-01-09,274.3999938964844,275.25,274.0799865722656,274.5400085449219,249.2972869873047,57254000,0.018466763296514532,100.0,100.0,0.018466763296514532,0.017763301186716797
2018-01-10,273.67999267578125,274.4200134277344,272.9200134277344,274.1199951171875,248.91583251953125,69574300,0.018313366780792872,93.21372727865007,100.0,0.018313366780792872,0.017609904670995137
2018-01-11,274.75,276.1199951171875,274.55999755859375,276.1199951171875,250.73196411132812,62361500,0.015536846768829271,94.8709268400773,93.21372727865007,0.015536846768829271,0.014556509248948479
2018-01-12,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,252.36651611328125,90816100,0.017163336415324304,95.79509520285272,94.8709268400773,0.017163336415324304,0.01625061153451652
2018-01-16,279.3500061035156,280.0899963378906,276.17999267578125,276.9700012207031,251.50376892089844,106555100,0.022818615880515036,87.47582791781416,95.79509520285272,0.022818615880515036,0.02194359645378136
2018-01-17,278.0299987792969,280.04998779296875,276.9700012207031,279.6099853515625,253.9010009765625,113258800,0.012768292806053294,89.9104886867302,87.47582791781416,0.012768292806053294,0.01155385281140035
2018-01-18,279.4800109863281,279.9599914550781,278.5799865722656,279.1400146484375,253.4743194580078,100728000,0.014902815745511333,86.90357588362562,89.9104886867302,0.014902815745511333,0.0137877082897182
2018-01-19,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,254.62754821777344,140920100,0.022003418054395985,87.98923338309348,86.90357588362562,0.022003418054395985,0.020765630557639515
2018-01-22,280.1700134277344,282.69000244140625,280.1099853515625,282.69000244140625,256.6979675292969,91322400,0.0070391901352901964,89.54519502689533,87.98923338309348,0.0070391901352901964,0.0058456967418976
2018-01-23,282.739990234375,283.6199951171875,282.3699951171875,283.2900085449219,257.24273681640625,97084700,-0.0054007257990849045,89.8898158611979,89.54519502689533,-0.0054007257990849045,-0.006530736993059578
2018-01-24,284.0199890136719,284.70001220703125,281.8399963378906,283.17999267578125,257.14288330078125,134816100,-0.004520263212050013,88.2599489514614,89.8898158611979,-0.004520263212050013,-0.0056362141053650176
2018-01-25,284.1600036621094,284.2699890136719,282.3999938964844,283.29998779296875,257.2518005371094,84587300,-0.006071205760349807,87.49179481486192,88.2599489514614,-0.006071205760349807,-0.00725365413874147
2018-01-26,284.25,286.6300048828125,283.9599914550781,286.5799865722656,260.230224609375,107743100,-0.03883749271744241,88.56954584316676,87.49179481486192,-0.03883749271744241,-0.040051281273323386
2018-01-29,285.92999267578125,286.42999267578125,284.5,284.67999267578125,258.5049133300781,90118300,-0.07288893500871063,79.14391722997883,88.56954584316676,-0.04307551349867511,-0.04424533052995311
