ghnrs_j,z_ar025rpc
62.0,527000.0
61.0,25296000.0
47.0,157000.0
78.0,1850000.0
58.0,224000.0
60.0,79998.0
55.0,199998.0
37.0,710000.0
44.0,273000.0
45.0,195000.0
65.0,330000.0
53.0,610000.0
68.0,310000.0
58.0,638000.0
63.0,203000.0
31.0,255000.0
50.0,290000.0
48.0,248000.0
51.0,472000.0
48.0,1645000.0
52.0,235000.0
52.0,100000.0
46.0,270000.0
55.0,165000.0
69.0,209000.0
55.0,220000.0
76.0,245000.0
45.0,125000.0
66.0,1970807.0
53.0,173000.0
43.0,825000.0
44.0,670000.0
42.0,100000.0
71.0,45000.0
57.0,650000.0
73.0,756000.0
58.0,156000.0
40.0,45200.0
56.0,486000.0
61.0,500000.0
59.0,3185000.0
49.0,255000.0
44.0,300000.0
63.0,199998.0
38.0,30000.0
75.0,850000.0
42.0,885000.0
42.0,41000.0
42.0,176000.0
58.0,547000.0
50.0,500000.0
49.0,168000.0
28.0,435000.0
55.0,193000.0
46.0,485000.0
57.0,313000.0
61.0,820000.0
57.0,1850000.0
55.0,932000.0
70.0,299998.0
56.0,1230000.0
53.0,33500.0
40.0,400000.0
54.0,385000.0
54.0,310000.0
70.0,360000.0
58.0,585000.0
49.0,141998.0
50.0,734000.0
64.0,183000.0
72.0,900000.0
57.0,545000.0
72.0,325000.0
54.0,255000.0
73.0,650000.0
69.0,280000.0
61.0,341000.0
53.0,3902000.0
69.0,1553000.0
77.0,1170000.0
61.0,435000.0
61.0,135000.0
50.0,1420000.0
48.0,250000.0
74.0,550000.0
69.0,4000.0
58.0,165000.0
58.0,5000.0
45.0,182500.0
54.0,860000.0
47.0,575000.0
73.0,695000.0
61.0,31000.0
52.0,213000.0
55.0,131000.0
72.0,290000.0
45.0,522000.0
52.0,150000.0
64.0,319000.0
46.0,78000.0
70.0,47998.0
59.0,93000.0
70.0,255000.0
43.0,145000.0
38.0,200000.0
70.0,842500.0
55.0,350000.0
61.0,844000.0
50.0,1100350.0
56.0,531500.0
55.0,200000.0
49.0,1140000.0
59.0,385000.0
52.0,59998.0
53.0,5955000.0
48.0,304000.0
46.0,765000.0
57.0,21900000.0
61.0,1297000.0
60.0,620000.0
58.0,591000.0
64.0,164500.0
69.0,955000.0
55.0,955000.0
63.0,2025000.0
69.0,257500.0
67.0,1610000.0
49.0,610000.0
59.0,300000.0
75.0,1750000.0
49.0,160000.0
63.0,573000.0
47.0,275000.0
58.0,653000.0
64.0,170000.0
66.0,92000.0
55.0,150000.0
72.0,920000.0
56.0,750000.0
52.0,530000.0
49.0,445000.0
67.0,560000.0
65.0,370000.0
64.0,271100.0
70.0,888000.0
41.0,109998.0
59.0,147998.0
49.0,50000.0
60.0,89998.0
56.0,659000.0
50.0,119998.0
68.0,225000.0
53.0,305000.0
48.0,1920000.0
67.0,157998.0
55.0,2676000.0
74.0,533000.0
46.0,582000.0
63.0,3250000.0
45.0,880000.0
62.0,1840000.0
59.0,421000.0
56.0,10000.0
69.0,199998.0
81.0,795000.0
62.0,977000.0
47.0,302000.0
66.0,700000.0
67.0,317000.0
58.0,710000.0
53.0,1000000.0
51.0,1040000.0
52.0,190000.0
63.0,2120000.0
62.0,87000.0
51.0,715000.0
60.0,150000.0
53.0,85000.0
61.0,465000.0
48.0,218000.0
76.0,626000.0
57.0,6505000.0
64.0,355000.0
74.0,273000.0
75.0,533000.0
64.0,745000.0
79.0,149998.0
44.0,942000.0
45.0,50000.0
52.0,462000.0
44.0,176000.0
34.0,244000.0
49.0,82000.0
60.0,626000.0
55.0,545000.0
53.0,42500.0
61.0,396000.0
54.0,174998.0
69.0,1375000.0
55.0,2145000.0
49.0,412000.0
48.0,985000.0
56.0,250000.0
79.0,800000.0
80.0,1430000.0
72.0,790000.0
60.0,680000.0
64.0,72000.0
53.0,90000.0
39.0,145000.0
45.0,130000.0
53.0,3850000.0
55.0,750000.0
46.0,160000.0
58.0,152000.0
53.0,748000.0
65.0,1220000.0
40.0,400000.0
46.0,670000.0
54.0,232000.0
26.0,150000.0
76.0,3050000.0
52.0,540000.0
66.0,59998.0
56.0,5000.0
51.0,165000.0
61.0,1135000.0
55.0,80000.0
40.0,190000.0
69.0,5900000.0
66.0,1260000.0
52.0,346000.0
47.0,760000.0
50.0,850000.0
72.0,2206000.0
62.0,144000.0
47.0,630000.0
52.0,290000.0
79.0,135000.0
39.0,935000.0
25.0,447000.0
47.0,200300.0
72.0,157500.0
48.0,225000.0
35.0,247000.0
73.0,390000.0
67.0,400000.0
48.0,350000.0
73.0,9300000.0
55.0,120000.0
61.0,110000.0
39.0,780000.0
47.0,433000.0
59.0,94998.0
50.0,137000.0
70.0,313000.0
66.0,750000.0
56.0,312000.0
48.0,225000.0
64.0,2255000.0
60.0,52000.0
74.0,262000.0
65.0,250000.0
44.0,748000.0
48.0,252500.0
75.0,850000.0
60.0,530000.0
57.0,149998.0
42.0,360000.0
81.0,432000.0
62.0,235000.0
58.0,128500.0
71.0,415000.0
58.0,1000000.0
64.0,1740000.0
50.0,325000.0
60.0,438000.0
67.0,805000.0
44.0,55000.0
40.0,120000.0
54.0,10000.0
44.0,191000.0
44.0,134000.0
70.0,400000.0
62.0,460000.0
62.0,134998.0
42.0,540000.0
75.0,400000.0
59.0,405000.0
59.0,758000.0
81.0,219998.0
57.0,385000.0
73.0,2803333.0
59.0,117000.0
55.0,520000.0
73.0,1399998.0
53.0,69998.0
47.0,81000.0
39.0,40000.0
62.0,300000.0
52.0,180000.0
55.0,650000.0
60.0,910000.0
57.0,4400000.0
33.0,346000.0
61.0,375000.0
57.0,350000.0
77.0,162000.0
51.0,58000.0
52.0,35000.0
67.0,187500.0
53.0,855000.0
56.0,150000.0
42.0,416000.0
49.0,1470000.0
59.0,1220000.0
68.0,425000.0
75.0,655000.0
62.0,365000.0
76.0,400000.0
57.0,125000.0
64.0,375000.0
60.0,349998.0
63.0,670000.0
58.0,1305000.0
59.0,332000.0
69.0,85000.0
52.0,10000.0
55.0,1185000.0
73.0,151800.0
63.0,225998.0
60.0,255000.0
33.0,500000.0
39.0,488000.0
55.0,2350000.0
39.0,135000.0
43.0,1650000.0
67.0,785000.0
74.0,1163000.0
49.0,1820000.0
44.0,150000.0
69.0,265000.0
62.0,577000.0
29.0,650000.0
51.0,640000.0
63.0,492000.0
54.0,75000.0
36.0,645000.0
62.0,432000.0
49.0,330000.0
47.0,165000.0
56.0,129998.0
49.0,100000.0
73.0,395000.0
35.0,50000.0
41.0,921000.0
62.0,2700000.0
55.0,530000.0
63.0,1300000.0
48.0,3400000.0
51.0,41000.0
61.0,1180000.0
56.0,95000.0
65.0,120000.0
76.0,259998.0
46.0,220000.0
73.0,550000.0
55.0,1072000.0
51.0,785000.0
72.0,1276000.0
73.0,3000000.0
57.0,468000.0
55.0,160000.0
39.0,150000.0
67.0,750000.0
48.0,1114000.0
56.0,2170000.0
65.0,280000.0
44.0,650000.0
69.0,103000.0
70.0,560000.0
57.0,1004000.0
43.0,485000.0
45.0,224000.0
41.0,109998.0
63.0,2055000.0
61.0,214998.0
65.0,300000.0
75.0,1760000.0
61.0,386000.0
52.0,399000.0
58.0,995000.0
51.0,890000.0
55.0,200000.0
59.0,250000.0
67.0,284000.0
71.0,610000.0
55.0,4035000.0
66.0,374998.0
50.0,4300000.0
51.0,407000.0
60.0,270000.0
59.0,223000.0
56.0,347000.0
60.0,742000.0
54.0,220000.0
56.0,750000.0
80.0,1050000.0
