DATE,ISBN,Title,Weekly Sales,Weekly Average Rank
4/28/01,'1565920902,"Oracle8i Internal Services: For Waits, Latches, Locks, and Memory",9,12138
4/28/01,'156592391X,Xml Pocket Reference,39,12183
4/28/01,'1565929411,Crossing Platforms : A Macintosh/Windows Phrasebook,17,12199
4/28/01,'1565924835,"The UNIX CD Bookshelf, 2nd Edition (w/ CD-ROM)",7,12815
4/28/01,'1565921488,Word 2000 in a Nutshell: A Power User's Quick Reference,10,12871
4/28/01,'1565922948,Advanced Perl Programming,4,13212
4/28/01,'0596001088,Oracle Net8 Configuration & Troubleshooting,33,13218
4/28/01,'1565924886,Practical C++ Programming (Nutshell Handbook),10,13391
4/28/01,'1565926099,Practical C Programming (Nutshell Handbook),6,13468
4/28/01,'0596000189,Dns on Windows Nt,4,13635
4/28/01,'1565926927,Access Database Design & Programming (Nutshell Handbook),22,13719
4/28/01,'0596001266,Advanced Perl Programming,10,13742
4/28/01,'1565922204,Java Security (Java Series (O'Reilly & Associates).),10,13815
4/28/01,'1565923251,Learning Java (The Java Series),11,13825
4/28/01,'1565927087,Using Csh and Tcsh (Nutshell Handbook),14,13880
4/28/01,'156592858X,Designing Web Audio,8,13908
4/28/01,'1565925785,Oracle Net8 Configuration & Troubleshooting,8,13966
4/28/01,'1565928628,Mastering Algorithms With C,7,14152
4/28/01,'1565927044,Managing Windows 2000 Registry,8,14153
4/28/01,'1565926420,PHP Pocket Reference,5,14165
4/28/01,'0596000324,Oracle PL/SQL Language Pocket Reference,16,14202
4/28/01,'156592567X,CJKV Information Processing,9,14237
4/28/01,'1565927176, Linux Network Administrator's Guide (2nd Edition),14,14293
4/28/01,'1565925874,Lex & Yacc,14,14349
4/28/01,'0596000448,Perl in a Nutshell : A Desktop Quick Reference,10,14363
4/28/01,'1565926595,PHP Pocket Reference,13,14369
4/28/01,'1565927508,Managing Windows 2000 Registry,12,14371
4/28/01,'1565921526,Lex & Yacc,8,14373
4/28/01,'0596000170,Word 2000 in a Nutshell: A Power User's Quick Reference,1,14436
4/28/01,'1565925726,JavaScript Application Cookbook,10,14464
4/28/01,'1565923065,Managing Imap,7,14518
4/28/01,'1565926579,Database Nation : The Death of Privacy in the 21st Century,7,14721
4/28/01,'1565929489,Dns on Windows Nt,8,14920
4/28/01,'1565924037,The Perl Cd Bookshelf : 6 Bestselling Books on Cd-Rom,5,14945
4/28/01,'1565923510,Perl in a Nutshell : A Desktop Quick Reference,9,14968
4/28/01,'0937175714,Java Enterprise Cd Bookshelf : Version 1.0,14,15030
4/28/01,'1565927184,JavaScript Application Cookbook,9,15056
4/28/01,'0937175757,Evil Geniuses in a Nutshell,8,15111
4/28/01,'1565925998,Designing Web Audio,6,15160
4/28/01,'1565922689,Mastering Algorithms with Perl,10,15202
4/28/01,'156592598X,Java Security (Java Series (O'Reilly & Associates).),5,15283
4/28/01,'1565920007,Crossing Platforms : A Macintosh/Windows Phrasebook,8,15300
4/28/01,'1565929438,CJKV Information Processing,8,15399
4/28/01,'1565927532,Windows 2000 Commands Pocket Reference,19,15497
4/28/01,'1565924347,JavaScript Application Cookbook,10,15558
4/28/01,'1565924576,Learning Wml & Wmlscript,12,15563
4/28/01,'1565924851,Web Security & Commerce (O'Reilly Nutshell),4,15576
4/28/01,'059600012X,Java Enterprise Cd Bookshelf : Version 1.0,8,15616
4/28/01,'1565925394,Essential Windows Nt System Administration,13,15837
4/28/01,'1565923987,Mastering Algorithms With C,15,15890
4/28/01,'0596000006,Oracle PL/SQL Language Pocket Reference,8,15937
4/28/01,'1565922867,Windows Nt Tcp/Ip Network Administration,8,15955
4/28/01,'0596001053,CJKV Information Processing,9,15971
4/28/01,'1565923537,Perl in a Nutshell : A Desktop Quick Reference,5,15974
4/28/01,'1565925114,Oracle Net8 Configuration & Troubleshooting,11,16010
4/28/01,'1565927699,Database Nation : The Death of Privacy in the 21st Century,4,16207
4/28/01,'1565924622,Practical C++ Programming (Nutshell Handbook),9,16652
4/28/01,'1565922697,Access Database Design & Programming (Nutshell Handbook),10,16894
4/28/01,'1565922247,Web Security & Commerce (O'Reilly Nutshell),18,16998
4/28/01,'1565929470,Java Threads (Java Series (O'Reilly & Associates)),9,17037
4/28/01,'1565925777,Using Csh and Tcsh (Nutshell Handbook),10,17057
4/28/01,'1565924894,Learning Vbscript,10,17149
4/28/01,'1565928504,PHP Pocket Reference,10,17251
4/28/01,'1565922476,Practical C++ Programming (Nutshell Handbook),13,17318
4/28/01,'1565921399,Learning Wml & Wmlscript,8,17333
4/28/01,'1565923774,Mastering Algorithms With C,8,17381
4/28/01,'1565926277,Essential Windows Nt System Administration,8,17420
4/28/01,'1565924533,Cdo and Mapi Programming With Visual Basic,9,17477
4/28/01,'156592861X,Mastering Algorithms with Perl,6,17503
4/28/01,'1565926269,Windows Nt Tcp/Ip Network Administration,6,17525
4/28/01,'1565924185,Learning Red Hat Linux,10,17535
4/28/01,'1565921127,C++ : The Core Language,7,17681
4/28/01,'1565925254,Mastering Algorithms with Perl,8,17712
4/28/01,'1565924002,Learning Vbscript,5,17765
4/28/01,'156592486X,Access Database Design & Programming (Nutshell Handbook),11,17871
4/28/01,'1565921321, Linux Network Administrator's Guide (2nd Edition),5,18101
4/28/01,'1565926498, Linux Network Administrator's Guide (2nd Edition),11,18189
4/28/01,'1565925165,Windows Nt Tcp/Ip Network Administration,6,18437
4/28/01,'1565928385,Windows 98 in a Nutshell : A Desktop Quick Reference (Nutshell Handbooks),9,18538
4/28/01,'1565923618,Database Nation : The Death of Privacy in the 21st Century,10,18699
4/28/01,'156592729X,Palm Programming : The Developer's Guide,10,18725
4/28/01,'156592455X,Java Swing,12,18761
4/28/01,'1565923243,Windows Nt Desktop Reference,21,18864
4/28/01,'1565922743,Evil Geniuses in a Nutshell,9,18924
4/28/01,'1565922913,Programming With Gnu Software (Nutshell Handbook),8,18986
4/28/01,'1565926757,Learning Red Hat Linux,4,18997
4/28/01,'1565920988,Managing Windows 2000 Registry,9,19130
4/28/01,'156592116X,Java Threads (Java Series (O'Reilly & Associates)),6,19153
4/28/01,'1565924029,Web Security & Commerce (O'Reilly Nutshell),15,19242
4/28/01,'1565924797,Learning Vbscript,10,19379
4/28/01,'1565925823,Internet in A Nutshell,1,19750
4/28/01,'1565924967,Oracle PL/SQL Language Pocket Reference,21,19853
4/28/01,'1565923790,Managing Microsoft Exchange Server,9,19949
4/28/01,'1565925459,"Non-Hodgkin's Lymphomas: Making Sense of Diagnosis, Treatment and Options",6,20039
4/28/01,'1565926315,Programming With Gnu Software (Nutshell Handbook),8,20045
4/28/01,'156592665X,Windows 98 in a Nutshell : A Desktop Quick Reference (Nutshell Handbooks),8,20106
4/28/01,'1565924061,Using Csh and Tcsh (Nutshell Handbook),4,20285
4/28/01,'1565926706,User Friendly,4,20349
4/28/01,'1565926730,Sed & Awk Pocket Reference,7,20378
4/28/01,'1565928490,Evil Geniuses in a Nutshell,6,20509
4/28/01,'0596000472,DHCP for Windows 2000,5,20516
4/28/01,'1565922964,Programming Internet Email,7,20796
4/28/01,'1565920376,Java Enterprise Cd Bookshelf : Version 1.0,5,21231
4/28/01,'1565927141,Learning Red Hat Linux,6,21364
4/28/01,'1565925009,Sed & Awk Pocket Reference,10,21425
4/28/01,'1565924843,Word 2000 in a Nutshell: A Power User's Quick Reference,3,21775
4/28/01,'1565921941,Sed & Awk Pocket Reference,5,21954
4/28/01,'1565923758,DHCP for Windows 2000,8,22108
4/28/01,'0937175730,Learning Perl on Win32 Systems,8,22409
4/28/01,'1565925807,Essential Windows Nt System Administration,7,22455
4/28/01,'1565922891,Windows: System Policy Editor,7,22587
4/28/01,'1565925173,Oracle8 Design Tips,2,22709
4/28/01,'1565920740,C++ : The Core Language,9,22741
4/28/01,'1565922379,Learning Perl on Win32 Systems,6,22829
4/28/01,'156592388X,Oracle Database Administration : The Essential Reference,7,23002
4/28/01,'1565925238,Net Lessons : Web-Based Projects for Your Classroom,1,23463
4/28/01,'1565924932,DHCP for Windows 2000,4,23539
4/28/01,'156592259X,Java Swing,7,23583
4/28/01,'1565927117,Java Threads (Java Series (O'Reilly & Associates)),6,23633
4/28/01,'1565927052,Net Lessons : Web-Based Projects for Your Classroom,4,23634
4/28/01,'1565924010,Palm Programming : The Developer's Guide,11,23856
4/28/01,'1565921151,Visual Basic Shell Programming,6,24164
4/28/01,'1565921232,C++ : The Core Language,10,24352
4/28/01,'1565926749,Net Lessons : Web-Based Projects for Your Classroom,3,24403
4/28/01,'1565925378,PGP : Pretty Good Privacy,2,24676
4/28/01,'1565924789,Programming Internet Email,4,24907
4/28/01,'0937175021,Oracle Database Administration : The Essential Reference,4,24998
4/28/01,'1565924487,Windows 98 in a Nutshell : A Desktop Quick Reference (Nutshell Handbooks),2,25144
4/28/01,'1565922786,Programming With Gnu Software (Nutshell Handbook),5,25194
4/28/01,'1565924983,Oracle Database Administration : The Essential Reference,8,25285
4/28/01,'1565924460,Learning Perl on Win32 Systems,8,25330
4/28/01,'0937175838,Managing Microsoft Exchange Server,15,25391
4/28/01,'156592312X,Java Cryptography (Java Series (O'Reilly & Associates).),6,25424
4/28/01,'1565922514,"Childhood Leukemia : A Guide for Families, Friends & Caregivers (Patient-Centered Guides)",8,25436
4/28/01,'1565927591,Windows: System Policy Editor,6,25548
4/28/01,'156592696X,The Perl Cd Bookshelf : 6 Bestselling Books on Cd-Rom,2,26594
4/28/01,'1565921046,Developing Asp Components,5,26614
4/28/01,'0596000995,Java Cryptography (Java Series (O'Reilly & Associates).),7,26651
4/28/01,'1565925297,Open Sources: Voices from the Open Source Revolution (O'Reilly Open Source),4,26679
4/28/01,'1565922387,Web Performance Tuning: Speeding Up the Web (O'Reilly Nutshell),9,26771
4/28/01,'1565922492,Windows: System Policy Editor,3,26832
4/28/01,'1565926218,Oracle Performance Tuning (Nutshell Handbook),6,26841
4/28/01,'1565920163,Web Performance Tuning: Speeding Up the Web (O'Reilly Nutshell),6,26940
4/28/01,'1565925653,Cdo and Mapi Programming With Visual Basic,7,27001
4/28/01,'1565923006,Cdo and Mapi Programming With Visual Basic,1,27179
4/28/01,'156592438X,Web Performance Tuning: Speeding Up the Web (O'Reilly Nutshell),3,27223
4/28/01,'1565926374,User Friendly,6,27418
4/28/01,'1565927257,SCO Unix in a Nutshell : A Desktop Quick Reference for Sco Unix and Open Desktop,5,27469
4/28/01,'0937175773,Excel 2000 in a Nutshell : A Power User's Quick Reference,4,27735
4/28/01,'0596000383,Open Sources: Voices from the Open Source Revolution (O'Reilly Open Source),11,27921
4/28/01,'1565922263,Win32 Multithreaded Programming,5,28008
4/28/01,'1565926412,Perl Resource Kit : Unix Edition,1,28068
4/28/01,'1565924339,Gnu Emacs Pocket Reference,10,28243
4/28/01,'1565928598,Win32 Multithreaded Programming,3,28288
4/28/01,'1565923200,Win32 API Programming with Visual Basic,8,28307
4/28/01,'1565920074,Oracle PL/SQL Programming: Guide to Oracle8i Features,7,28372
4/28/01,'1565925882,Oracle PL/SQL Best Practices,46,28383
4/28/01,'1565927192,Gnu Emacs Pocket Reference,3,28407
4/28/01,'1565926773,Unix Cd Bookshelf (Contains 6 books and software),1,28447
4/28/01,'1565927311,Visual Basic Shell Programming,3,28474
4/28/01,'1565925203,Oracle Design (Nutshell Handbook),2,28927
4/28/01,'1565922069,Childhood Cancer Survivors: A Practical Guide to Your Future,4,29565
4/28/01,'1565924568,Win32 Multithreaded Programming,4,29581
4/28/01,'1565926250,Transact-SQL Programming,6,29621
4/28/01,'1565920139,The Oracle Pl/Sql Cd Bookshelf : 7 Bestselling Books on Cd-Rom,3,29627
4/28/01,'1565920023,SCO Unix in a Nutshell : A Desktop Quick Reference for Sco Unix and Open Desktop,2,29707
4/28/01,'156592200X,Programming Internet Email,5,29907
4/28/01,'1565926137,Python : Pocket Reference,5,29948
4/28/01,'1565924509,The Oracle Pl/Sql Cd Bookshelf : 7 Bestselling Books on Cd-Rom,6,30004
4/28/01,'1565926617,Oracle PL/SQL Programming: Guide to Oracle8i Features,14,30059
4/28/01,'0937175307,Mod-Perl Pocket Reference,5,30226
4/28/01,'1565925815,Microsoft Exchange Server in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),1,30323
4/28/01,'1565925149,Java Swing,16,30345
4/28/01,'1565927214,Managing Microsoft Exchange Server,3,30535
4/28/01,'1565920066,Java Virtual Machine (Java Series),1,30582
4/28/01,'1565921631,Win32 API Programming with Visual Basic,6,30938
4/28/01,'1565926544,Pthreads Programming: A POSIX Standard for Better Multiprocessing (O'Reilly Nutshell),6,31141
4/28/01,'1565921267,Open Sources: Voices from the Open Source Revolution (O'Reilly Open Source),4,31161
4/28/01,'156592701X,Excel 2000 in a Nutshell : A Power User's Quick Reference,1,31198
4/28/01,'1565921178,Windows Nt in a Nutshell : A Desktop Quick Reference for System Administrators (Nutshell Handbooks),5,31241
4/28/01,'1565924320,Mod-Perl Pocket Reference,5,31253
4/28/01,'1565921542,Posix Programmer's Guide : Writing Portable Unix Programs With the Posix. 1 Standard,3,31256
4/28/01,'1565923847,Perl/Tk Pocket Reference,3,31609
4/28/01,'1565920155,Java Virtual Machine (Java Series),2,31622
4/28/01,'1565923820,Java Cryptography (Java Series (O'Reilly & Associates).),3,31670
4/28/01,'156592083X,Posix. 4 : Programming for the Real World,4,31859
4/28/01,'1565923782,Oracle PL/SQL Programming Developer's Workbook,3,31870
4/28/01,'1565921984,Python : Pocket Reference,4,31935
4/28/01,'1199000647,Java 2D Graphics,3,31942
4/28/01,'1565923014,Transact-SQL Programming,7,32031
4/28/01,'0937175226,The Cathedral & the Bazaar : Musings on Linux and Open Source by an Accidental Revolutionary,2,32191
4/28/01,'1565923219,"Advanced Breast Cancer: A Guide to Living with Metastatic Disease, 2nd Edition (Patient-Centered Guides)",7,32356
4/28/01,'1565920414,Networking CD Bookshelf,3,32467
4/28/01,'1565922611,Lingo in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),7,32489
,,Visual Basic Shell Programming,9,32494
,,Managing Mailing Lists,4,32723
,,Java 2D Graphics,4,32846
,,Sendmail Desktop Reference,7,32977
,,SCO Unix in a Nutshell : A Desktop Quick Reference for Sco Unix and Open Desktop,4,33045
,,Desktop Management With Novell Zenworks,5,33130
,,Gnu Emacs Pocket Reference,4,33144
,,Win32 API Programming with Visual Basic,3,33350
5/5/01,596000278,Python : Pocket Reference,5,33579
5/5/01,596001584,Oracle Built-In Packages,5,33605
5/5/01,1565926641,Perl/Tk Pocket Reference,9,33714
5/5/01,596000405,DocBook: The Definitive Guide (O'Reilly XML),4,33739
5/5/01,1565923928,Developing Java Beans (Java Series),3,33987
5/5/01,596000111,Palm Programming : The Developer's Guide,4,34269
5/5/01,596000588,Mod-Perl Pocket Reference,4,34496
5/5/01,1565928695,Oracle Performance Tuning (Nutshell Handbook),2,34541
5/5/01,596000464,DocBook: The Definitive Guide (O'Reilly XML),6,34567
5/5/01,1565922840,Oracle Built-In Packages,2,34774
5/5/01,1565924274,Xml Pocket Reference,12,34798
5/5/01,1565922573,Java 2D Graphics,4,34824
5/5/01,1565924878,Uml in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),4,35150
5/5/01,1565927680,Pthreads Programming: A POSIX Standard for Better Multiprocessing (O'Reilly Nutshell),4,35324
5/5/01,1565928717,Networking CD Bookshelf,7,35427
5/5/01,596000790,Desktop Management With Novell Zenworks,2,35434
5/5/01,1565922433,Lingo in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),3,35469
5/5/01,1565926226,Pthreads Programming: A POSIX Standard for Better Multiprocessing (O'Reilly Nutshell),6,35586
5/5/01,059600009X,"Hydrocephalus: A Guide for Patients, Families and Friends",2,35602
5/5/01,1565925157,Learning Debian Gnu/Linux,1,35649
5/5/01,596001045,Uml in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),3,35664
5/5/01,059600110X,Programming Web Graphics with Perl & GNU Software (O'Reilly Nutshell),4,35723
5/5/01,596000022,Lingo in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),6,35824
5/5/01,596000103,Windows NT Event Logging (O'Reilly Nutshell),5,35864
5/5/01,1565923588,Desktop Management With Novell Zenworks,8,35913
5/5/01,1565926978,Developing Java Beans (Java Series),3,36022
5/5/01,1565922824,Managing Mailing Lists,3,36029
5/5/01,596000391,Networking CD Bookshelf,5,36134
5/5/01,1565923545,Oracle PL/SQL Programming: Guide to Oracle8i Features,4,36186
5/5/01,1565928571,Developing Java Beans (Java Series),4,36265
5/5/01,596000162,Excel 2000 in a Nutshell : A Power User's Quick Reference,4,36311
5/5/01,1565927443,Writing GNU Emacs Extensions: Editor Customizations and Creations with Lisp (O'Reilly Nutshell),2,36707
5/5/01,1565924940,Posix. 4 : Programming for the Real World,8,36841
5/5/01,156592469X,iMovie: The Missing Manual,4,36869
5/5/01,1565925793,Posix Programmer's Guide : Writing Portable Unix Programs With the Posix. 1 Standard,8,36965
5/5/01,596000855,Samba Pocket Reference,3,36971
5/5/01,596001487,What You Need to Know When You Can't Find Your Unix System Administrator,4,37182
5/5/01,1565928431,Networking Personal Computers with TCP/IP: Building TCP/IP Networks (O'Reilly Nutshell),1,37463
5/5/01,596000685,What You Need to Know When You Can't Find Your Unix System Administrator,5,37724
5/5/01,1565922255,Oracle PL/SQL Programming Developer's Workbook,8,37758
5/5/01,596000030,Obsessive-Compulsive Disorder : Help for Children and Adolescents (Patient-Centered Guides),7,37862
5/5/01,596000154,Sendmail Desktop Reference,4,37960
5/5/01,1565923359,Transact-SQL Programming,4,38312
5/5/01,596000367,Practical Internet Groupware,1,38503
5/5/01,596001215,The Oracle Pl/Sql Cd Bookshelf : 7 Bestselling Books on Cd-Rom,3,38573
5/5/01,156592746X,Practical Internet Groupware,2,38611
5/5/01,1565925122,Networking Personal Computers with TCP/IP: Building TCP/IP Networks (O'Reilly Nutshell),1,38650
5/5/01,1565927524,Managing Mailing Lists,7,38691
5/5/01,596000197,Programming Web Graphics with Perl & GNU Software (O'Reilly Nutshell),5,38748
5/5/01,1565924975,User Friendly,3,38846
5/5/01,1565923901,Programming With Curses (A Nutshell Handbook),1,39024
5/5/01,596000669,Tcl/Tk Pocket Reference,4,39233
5/5/01,1565924266,Python Programming on Win 32,4,39515
5/5/01,596001223,Uml in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),4,39568
5/5/01,1565922603,Sendmail Desktop Reference,5,40020
5/5/01,1565924495,Oracle Performance Tuning (Nutshell Handbook),5,40313
5/5/01,1565922921,Windows Nt User Administration,3,40403
5/5/01,1565925211,Stopping Spam,5,40581
5/5/01,1565929489,"Motif Programming Manual (The Definitive Guides to the X Window System, Volume 6A)",6,40609
5/5/01,1565926994,Colon & Rectal Cancer: A Comprehensive Guide for Patients & Families,1,40640
5/5/01,1565926005,Posix Programmer's Guide : Writing Portable Unix Programs With the Posix. 1 Standard,5,40745
5/5/01,1565924649,Developing Asp Components,2,41078
5/5/01,059600060X,Jini in a Nutshell : A Desktop Quick Reference,2,41106
5/5/01,1565923227,"Virtual Private Networks, 2nd Edition (O'Reilly Nutshell)",3,41158
5/5/01,1565921275,Tcl/Tk Pocket Reference,4,41415
5/5/01,937175900,Oracle PL/SQL Programming Developer's Workbook,6,41470
5/5/01,1565927206,Perl/Tk Pocket Reference,5,41585
5/5/01,1565926161,Windows Nt in a Nutshell : A Desktop Quick Reference for System Administrators (Nutshell Handbooks),2,41633
5/5/01,596000189,Advanced Oracle Pl/Sql : Programming With Packages (Nutshell Handbook),3,42066
5/5/01,1565924193,Oracle Built-In Packages,4,42653
5/5/01,1565924177,Volume 8 : X Window System Administrator's Guide,1,42735
5/5/01,1565926382,Windows Nt in a Nutshell : A Desktop Quick Reference for System Administrators (Nutshell Handbooks),2,42926
5/5/01,1565926919,Volume 8 : X Window System Administrator's Guide,1,43009
5/5/01,1565926609,"High Performance Computing (Risc Architectures, Optimization & Benchmarks)",2,43064
5/5/01,596001339,Writing Word Macros,7,43216
5/5/01,1565928709,Managing Windows NT Logon,4,43907
5/5/01,1565926420,Tcl/Tk Tools,1,44001
5/5/01,1565922220,Oracle Scripts,5,44194
5/5/01,1565921976,Oracle8 Design Tips,2,44352
5/5/01,1565920546,"High Performance Computing (Risc Architectures, Optimization & Benchmarks)",9,44406
5/5/01,1565920902,Volume 8 : X Window System Administrator's Guide,2,44434
5/5/01,1565927060,DocBook: The Definitive Guide (O'Reilly XML),7,44742
5/5/01,1565927133,Windows NT File System Internals : A Developer's Guide,5,45076
5/5/01,1565923472,Programming Web Graphics with Perl & GNU Software (O'Reilly Nutshell),4,45328
5/5/01,1565925289,Designing With JavaScript : Creating Dynamic Web Pages (Web Review Studio Series),2,45514
5/5/01,596000324,Designing With JavaScript : Creating Dynamic Web Pages (Web Review Studio Series),5,45603
5/5/01,1565921488,What You Need to Know When You Can't Find Your Unix System Administrator,4,45724
5/5/01,1565922948,Windows NT File System Internals : A Developer's Guide,3,46146
5/5/01,596000251,"Virtual Private Networks, 2nd Edition (O'Reilly Nutshell)",2,46199
5/5/01,156592858X,Oracle SAP Administration (O'Reilly Oracle),1,46257
5/5/01,1565924835,Posix. 4 : Programming for the Real World,4,46330
5/5/01,596001088,Jini in a Nutshell : A Desktop Quick Reference,3,46383
5/5/01,1565926595,Tcl/Tk in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),2,47495
5/5/01,156592391X,Oracle Web Applications : Pl/Sql Developer's Introduction,1,47588
5/5/01,1565927095,"Motif Programming Manual (The Definitive Guides to the X Window System, Volume 6A)",4,47692
5/5/01,1565925785,Photoshop for the Web,4,47867
5/5/01,1565927508,Advanced Oracle Pl/Sql : Programming With Packages (Nutshell Handbook),3,47873
5/5/01,1565926099,Designing With JavaScript : Creating Dynamic Web Pages (Web Review Studio Series),4,47888
5/5/01,1565925726,Windows NT File System Internals : A Developer's Guide,1,48367
5/5/01,596001266,"Motif Programming Manual (The Definitive Guides to the X Window System, Volume 6A)",6,48623
5/5/01,1565923251,X Toolkit Intrinsics Reference Manual for Version 11 of the Window System (Definitive Guides to the X Window System),7,48855
5/5/01,1565924886,Writing Word Macros,4,49078
5/5/01,1565927044,Photoshop in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),1,49126
5/5/01,156592567X,Tcl/Tk Pocket Reference,1,49194
5/5/01,596000308,Python Programming on Win 32,5,49289
5/5/01,1565925874,Building Linux Clusters,1,49399
5/5/01,1565923510,Photoshop in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),3,49427
5/5/01,1565921526,Oracle PL/SQL Built-Ins Pocket Reference,2,49680
5/5/01,1565926927,Samba Pocket Reference,11,49948
5/5/01,596000170,"High Performance Computing (Risc Architectures, Optimization & Benchmarks)",1,50081
5/5/01,1565929411,Writing Word Macros,4,50579
5/5/01,1565924347,Oracle Scripts,3,50653
5/5/01,596000006,Developing Asp Components,3,50736
5/5/01,1565927087,Creating Effective Javahelp (Java Series (O'Reilly & Associates).),2,50843
5/5/01,1565927176,Photoshop for the Web,2,51115
5/5/01,1565924851,GIMP Pocket Reference (O'Reilly Pocket Reference Series),2,51459
5/5/01,1565924002,Oracle Scripts,4,51528
5/5/01,1565922689,Managing Windows NT Logon,3,51795
5/5/01,1565926579,Power Programming With Rpc,4,51875
5/5/01,596000448,iMovie: The Missing Manual,3,51970
5/5/01,937175757,Managing Windows NT Logon,6,52124
5/5/01,937175714,Network Printing: Building Print Services on Heterogeneous Networks,1,52604
5/5/01,1565925998,Designing and Programming CICS Applications,1,52931
5/5/01,156592598X,Software Portability With Imake (Nutshell Handbook),4,53247
5/5/01,1565928628,Managing Ip Networks With Cisco Routers,1,53457
5/5/01,1565923065,Photoshop for the Web,3,53783
5/5/01,1565921399,The Cathedral & the Bazaar : Musings on Linux and Open Source by an Accidental Revolutionary,3,54077
5/5/01,1565929438,Tcl/Tk in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),5,54337
5/5/01,1565927184,Advanced Oracle Pl/Sql : Programming With Packages (Nutshell Handbook),6,54502
5/5/01,1565920007,Tcl/Tk in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),3,54891
5/5/01,1565921321,Network Printing: Building Print Services on Heterogeneous Networks,3,55445
5/5/01,1565922204,Partial Seizure Disorders: Help for Patients and Families,3,55480
5/5/01,1565922247,Creating Effective Javahelp (Java Series (O'Reilly & Associates).),3,55519
5/5/01,1565924533,Creating Effective Javahelp (Java Series (O'Reilly & Associates).),2,55523
5/5/01,1565925114,MP3: The Definitive Guide,2,55922
5/5/01,1565927699,Learning Dcom,3,55928
5/5/01,1565922867,Jini in a Nutshell : A Desktop Quick Reference,6,55956
5/5/01,1565928504,Motif Reference Manual for Motif 2.1,4,56310
5/5/01,1565926269,Power Programming With Rpc,1,56811
5/5/01,1565922743,Oracle PL/SQL Built-Ins Pocket Reference,4,57410
5/5/01,059600012X,Managing Ip Networks With Cisco Routers,5,57534
5/5/01,156592455X,Programming With Qt,5,57916
5/5/01,1565923537,GIMP Pocket Reference (O'Reilly Pocket Reference Series),3,57988
5/5/01,1565925777,"Cracking DES: Secrets of Encryption Research, Wiretap Politics & Chip Design",2,58158
5/5/01,1565927532,Outlook Annoyances,7,58285
5/5/01,1565922697,Java Distributed Computing (O'Reilly Java),3,58380
5/5/01,1565924037,"Cracking DES: Secrets of Encryption Research, Wiretap Politics & Chip Design",3,58506
5/5/01,1565925394,Windows NT Event Logging (O'Reilly Nutshell),3,59684
5/5/01,596001053,Software Portability With Imake (Nutshell Handbook),1,59706
5/5/01,1565923987,"Optimizing Windows for Games, Graphics and Multimedia",7,59998
5/5/01,1565929470,Oracle Security,1,60168
5/5/01,1565924576,Network Printing: Building Print Services on Heterogeneous Networks,2,60537
5/5/01,1565925254,"X Toolkit Intrinsics Programming Manual for X11, Release 5 (Definitive Guides to the X Window System, Vol 4)",1,60552
5/5/01,1565925459,"Adolescent Drug & Alcohol Abuse: How to Spot It, Stop It, and Get Help for Your Family",3,60634
5/5/01,1565923774,Java Distributed Computing (O'Reilly Java),1,60701
5/5/01,1565924371,Managing Windows NT Registry,3,61171
5/5/01,1565922476,Xlib Programming Manual,2,61803
5/5/01,156592116X,Windows Nt User Administration,2,62014
5/5/01,156592861X,Oracle PL/SQL Built-Ins Pocket Reference,4,62031
5/5/01,156592729X,Smileys,1,62042
5/5/01,1565928385,Python Programming on Win 32,4,62721
5/5/01,1565924894,Building Linux Clusters,1,62873
5/5/01,1565926277,X Toolkit Intrinsics Reference Manual for Version 11 of the Window System (Definitive Guides to the X Window System),4,63029
5/5/01,1565923243,Oracle Parallel Processing,3,63107
5/5/01,1565925165,Xlib Programming Manual,2,63239
5/5/01,1565924185,Your Child in the Hospital: A Practical Guide for Parents,2,63294
5/5/01,1565922913,iMovie: The Missing Manual,2,63357
5/5/01,1565926498,Xlib Programming Manual,4,63443
5/5/01,1565922611,Inside the Windows 95 File System (Nutshell Handbook),1,63570
5/5/01,156592486X,GIMP Pocket Reference (O'Reilly Pocket Reference Series),1,63732
5/5/01,1565924010,Power Programming With Rpc,4,64206
5/5/01,1565921127,PGP : Pretty Good Privacy,3,64509
5/5/01,1565923790,Programming With Curses (A Nutshell Handbook),2,64889
5/5/01,1565924967,MP3: The Definitive Guide,5,64964
5/5/01,1565924622,Programming With Qt,1,65002
5/5/01,1565922964,Oracle Distributed Systems,1,65352
5/5/01,156592665X,Learning Dcom,3,65595
5/5/01,1565926757,Managing Windows NT Registry,1,65639
5/5/01,937175730,Oracle Security,1,65940
5/5/01,1565924797,Oracle Security,4,66613
5/5/01,1565920376,Windows Nt Workstation Configuration and Maintenance,2,66649
5/5/01,1565921941,Windows Nt Workstation Configuration and Maintenance,1,66897
5/5/01,1565926749,Unix in a Nutshell: A Desktop Quick Reference for System V & Solaris 2.0,3,67204
