DATE,ISBN,Title,Weekly Sales,Weekly Average Rank
4/21/01,'0596001487,JavaServer Pages,48,2691
4/21/01,'0596000030,Java Examples in a Nutshell : A Tutorial Companion to Java in a Nutshell (Nutshell Handbook),39,2695
4/21/01,'1565920902,Java Examples in a Nutshell : A Tutorial Companion to Java in a Nutshell (Nutshell Handbook),47,2702
4/21/01,'1565923510,MCSD in a Nutshell: The Visual Basic Exams (VBS Exams 70-175 and 70-176),42,2714
4/21/01,'0596000251,Windows 2000 Pro: The Missing Manual,57,2750
4/21/01,'1565924835,Java Performance Tuning (Java Series (O'Reilly)),48,2765
4/21/01,'1565927508,Essential System Administration (Nutshell Handbook),46,2784
4/21/01,'1565925394,Cascading Style Sheets: The Definitive Guide,38,2798
4/21/01,'1565922220,Web Design in a Nutshell : A Desktop Quick Reference,49,2863
4/21/01,'1565927095,Running Linux (3rd Edition),35,2872
4/21/01,'156592567X,Dns and Bind,27,2886
4/21/01,'1565926099,Building Oracle XML Applications,33,2900
4/21/01,'1565925289,Java Message Service (O'Reilly Java Series),43,2911
4/21/01,'1565926595,Windows 2000 Pro: The Missing Manual,30,2937
4/21/01,'156592858X,Windows 2000 Administration in a Nutshell : A Desktop Quick Reference,33,2947
4/21/01,'156592455X,Running Linux (3rd Edition),41,2991
4/21/01,'1565921488,Building Oracle XML Applications,39,2995
4/21/01,'1565925785,Java Performance Tuning (Java Series (O'Reilly)),30,3035
4/21/01,'1565923251,Learning the Unix Operating System (Nutshell Handbook),38,3059
4/21/01,'1565920007,Unix for Oracle DBAs Pocket Reference,45,3067
4/21/01,'1565925998,Javascript Pocket Reference,31,3087
4/21/01,'1565924347,Learning the Unix Operating System (Nutshell Handbook),39,3091
4/21/01,'0596000448,VB and VBA in a Nutshell: The Languages,43,3108
4/21/01,'0937175757,Java Internationalization,31,3137
4/21/01,'1565926927,Windows 2000 Active Directory,30,3152
4/21/01,'0596000324,UNIX Power Tools,44,3156
4/21/01,'1565922743,Programming Python (2nd Edition),49,3157
4/21/01,'0596000308,Learning the Unix Operating System (Nutshell Handbook),51,3162
4/21/01,'1565928628,"ASP in a Nutshell: A Desktop Quick Reference, Second Edition",62,3173
4/21/01,'1565927087,Oracle Sql : The Essential Reference,48,3183
4/21/01,'0937175714,Sql in a Nutshell : A Desktop Quick Reference,34,3185
4/21/01,'1565925300,Programming Python (2nd Edition),34,3201
4/21/01,'1565923537,"ASP in a Nutshell: A Desktop Quick Reference, Second Edition",25,3239
4/21/01,'0596001339,JavaServer Pages,28,3241
4/21/01,'1565921526,Programming Embedded Systems in C and C ++,33,3259
4/21/01,'1565924886,VB and VBA in a Nutshell: The Languages,45,3278
4/21/01,'1565927184,JavaServer Pages,39,3289
4/21/01,'156592598X,C# Essentials,32,3326
4/21/01,'0596000170,Java Message Service (O'Reilly Java Series),41,3330
4/21/01,'156592391X,MCSD in a Nutshell: The Visual Basic Exams (VBS Exams 70-175 and 70-176),47,3410
4/21/01,'1565924037,Html Pocket Reference (Nutshell Handbook),37,3420
4/21/01,'1565924851,Oracle Dba Checklists Pocket Reference,38,3439
4/21/01,'1565924894,Mac OS 9 : The Missing Manual (Missing Manual),33,3440
4/21/01,'1565922204,"ASP in a Nutshell: A Desktop Quick Reference, Second Edition",24,3469
4/21/01,'1565926277,sed & awk (2nd Edition),46,3470
4/21/01,'1565921321,vi Editor Pocket Reference (O'Reilly Nutshell),34,3486
4/21/01,'1565927699,"Learning Web Design : A Beginner's Guide to HTML, Graphics, and Beyond",37,3487
4/21/01,'0596001053,Programming the Perl DBI,33,3501
4/21/01,'1565922476,Java Performance Tuning (Java Series (O'Reilly)),44,3507
4/21/01,'0596000006,Mac OS 9 : The Missing Manual (Missing Manual),37,3529
4/21/01,'1565926579,"Learning Web Design : A Beginner's Guide to HTML, Graphics, and Beyond",15,3565
4/21/01,'1565925726,sed & awk (2nd Edition),29,3598
4/21/01,'059600012X,CGI Programming with Perl (2nd Edition),28,3606
4/21/01,'1565929470,Programming Python (2nd Edition),34,3636
4/21/01,'1565925777,Html Pocket Reference (Nutshell Handbook),38,3641
4/21/01,'156592486X,Cvs Pocket Reference,35,3643
4/21/01,'1565924185,Dns and Bind,4,3655
4/21/01,'156592665X,Oracle Dba Checklists Pocket Reference,45,3696
